Q,テーマ,設問,選択肢1,選択肢2,選択肢3,選択肢4,正答,根拠となる知識,引用文献
Q1,"心不全の定義とステージ分類","問1. 2025年改訂版心不全診療ガイドラインにおいて、心不全の進展ステージA（心不全リスク）に追加された主要な危険因子として、特に改訂点に挙げられているものはどれか,?","1. 弁膜症","2. 慢性腎臓病（CKD）","3. 拡張型心筋症","4. 喫煙習慣",2,"ステージA（心不全リスク）に慢性腎臓病（CKD）が追加されたことは主要な改訂点である。",""
Q2,"心不全の定義とステージ分類","問2. 心不全のステージB（前心不全）の定義において、構造的心疾患がない状態で、心不全の危険因子を有する場合、心不全の可能性が高いバイオマーカーのカットオフ値として目安とされるBNPおよびNT-proBNPの基準はどれか,?","1. BNP 35 pg/mL以上 または NT-proBNP 125 pg/mL以上","2. BNP 50 pg/mL以上 または NT-proBNP 200 pg/mL以上","3. BNP 100 pg/mL以上 または NT-proBNP 300 pg/mL以上","4. BNP 200 pg/mL以上 または NT-proBNP 900 pg/mL以上",1,"ステージB（前心不全）のバイオマーカーカットオフ値の目安はBNP ≥35 pg/mL または NT-proBNP ≥125 pg/mLである。",""
Q3,"心不全の定義とLVEFによる分類","問3. 左室駆出率（LVEF）の経時的変化に基づき、「LVEFの改善した心不全（HFimpEF）」と定義される基準として正しい組み合わせはどれか?","1. 初回LVEF 40％以下、かつ経過で10％以上改善し、LVEF 50％を超える","2. 初回LVEF 50％以下、かつ経過で10％以上改善し、LVEF 50％を超える","3. 初回LVEF 40％以下、かつ経過で10％以上改善し、LVEF 40％を超える","4. 初回LVEF 50％以下、かつ経過で10％以上改善し、LVEF 40％を超える",3,"HFimpEFの定義は、初回LVEF ≤40% かつ、経過でLVEFが10%以上増加し、かつ40%を超えること。",""
Q4,"診断と身体所見","問4. 心不全診断における体うっ血の身体所見のうち、頸静脈怒張を評価する際、胸骨角から垂直距離で何cm以上の高い位置に頸静脈拍動の頂点があれば頸静脈怒張と捉えるべきか?","1. 1 cm以上","2. 3 cm以上","3. 5 cm以上","4. 7 cm以上",2,"頸静脈怒張の診察法では、胸骨角から垂直距離で3 cm以上の拍動頂点を認めることが目安となる。",""
Q5,"診断と画像検査（CT）","問5. 心不全が疑われる患者において、虚血性心疾患の除外を目的に冠動脈CTを考慮すべき患者の検査前確率の範囲として適切とされているものはどれか,?","1. 低～中等度","2. 低～高リスク","3. 中等度～高リスク","4. 高リスクのみ",1,"冠動脈CTは虚血性心疾患の除外のために、低～中等度の検査前確率の患者に考慮される。",""
Q6,"診断と画像検査（心臓MRI）","問6. 心臓MRIにおける遅延造影（LGE）の分布様式について、肥大型心筋症で一般的に認められる特徴として正しいものはどれか,?","1. 心内膜側を中心に認められる。","2. 心外膜側を中心に認められる。","3. 肥大部のmid-wallや心室中隔と右室自由壁との接合部にpatchyに認められる。","4. 心筋全体にびまん性に認められる。",3,"HCMの遅延造影は、肥大部のmid-wallや心室中隔と右室自由壁の接合部にpatchyに認められる。",""
Q7,"診断と画像検査（核医学）","問7. 心不全の原因としてATTR心アミロイドーシスが疑われる場合に、診断のために推奨クラスI、エビデンスレベルB-NRで実施することが推奨されている検査はどれか?","1. 18 F-FDG-PET","2. 123 I-MIBGシンチグラフィ","3. 99m Tcピロリン酸シンチグラフィ","4. 心筋血流イメージング",3,"ATTR心アミロイドーシスの診断には、骨シンチグラフィ（99mTcピロリン酸など）が推奨クラスIで推奨されている。",""
Q8,"侵襲的検査","問8. 心不全患者におけるルーチンの右心カテーテル検査の実施に関する推奨クラスとエビデンスレベルとして正しいものはどれか,?","1. 推奨クラス I、エビデンスレベル B-R","2. 推奨クラス IIa、エビデンスレベル C-EO","3. 推奨クラス III No benefit、エビデンスレベル B-R","4. 推奨クラス III Harm、エビデンスレベル C-EO",3,"右心カテーテル検査のルーチン使用は、大規模試験（ESCAPE試験など）の結果から推奨クラス III No benefit（エビデンスレベルB-R）である。",""
Q9,"治療抵抗性心不全（ステージD）","問9. 治療抵抗性心不全（ステージD）と診断された患者を心臓移植実施施設や植込型VAD実施施設へ紹介を検討する基準として提唱されているI-NEED-HELPの簡易版の4つの主要な基準に含まれないものはどれか,?","1. 心不全を代償させるために静注強心薬の投与を要する","2. 持続的なBNP高値（＞740 pg/mL）を認める","3. 左室駆出率（LVEF）が35%以下である","4. 年に2回以上の心不全入院がある",3,"LVEF ≤35%はI-NEED-HELPの構成要素だが、簡易版の4つの主要な基準には含まれていない。",""
Q10,"HFrEFの薬物治療","問10. HFrEF患者（LVEF ≤35%）の治療において、最大忍容量のGDMTにもかかわらず、洞調律かつ安静時心拍数が75拍/分以上の患者に対して、心血管死または心不全入院の抑制を目的にイバブラジンの投与を考慮する場合の推奨クラスとエビデンスレベルはどれか,?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-R","3. 推奨クラス IIb、エビデンスレベル C-LD","4. 推奨クラス III No benefit、エビデンスレベル A",2,"イバブラジンは洞調律かつ心拍数≥75 bpmのHFrEF患者に、心血管死/入院抑制のため推奨クラス IIa、エビデンスレベル B-Rで考慮される。",""
Q11,"SGLT2阻害薬の腎機能による推奨","問11. CKDを合併した心不全患者へのSGLT2阻害薬の投与開始に関して、eGFRが30 mL/分/1.73m 2 未満の患者群を対象とした場合、ガイドラインで条件付きで推奨されるeGFRの下限値はどれか,?","1. eGFR 15 mL/分/1.73m 2 以上","2. eGFR 20 mL/分/1.73m 2 以上","3. eGFR 25 mL/分/1.73m 2 以上","4. eGFR 30 mL/分/1.73m 2 以上",2,"eGFR 30 mL/分/1.73m2未満のCKD合併HF患者へのSGLT2阻害薬投与は、eGFR 20 mL/分/1.73m2以上に限り条件付きで推奨される。",""
Q12,"HFmrEFの薬物治療","問12. 症候性のLVEFの軽度低下した心不全（HFmrEF）患者に対する薬物治療の推奨に関して、心血管死または心不全入院の抑制を目的に、ARNIの投与を考慮する場合の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-NR","3. 推奨クラス IIb、エビデンスレベル B-NR","4. 推奨クラス III Harm、エビデンスレベル A",2,"HFmrEFに対するARNIの投与は、サブグループ解析に基づき推奨クラス IIa、エビデンスレベル B-NRで考慮される。",""
Q13,"HFpEFの薬物治療","問13. 症候性の左室駆出率が正常以下のHFpEF患者に対して、心不全入院の抑制を目的に、ARBの投与を考慮してもよい場合の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-R","3. 推奨クラス IIb、エビデンスレベル B-R","4. 推奨クラス III No benefit、エビデンスレベル A",3,"HFpEFに対するARBの投与は、心不全入院抑制を目的に推奨クラス IIb、エビデンスレベル B-Rで考慮してもよい。",""
Q14,"肥大型心筋症の診断","問14. 肥大型心筋症の定義において、心エコー検査または心血管MRI検査で15 mm以上の最大左室壁厚を認める場合に本症が疑われる。肥大型心筋症の家族歴がある場合に本症を疑うべき左室壁厚の基準はどれか?","1. 12 mm以上","2. 13 mm以上","3. 14 mm以上","4. 15 mm以上",2,"HCMの家族歴がある場合、左室壁厚13 mm以上で本症を疑う。",""
Q15,"肥大型心筋症の治療","問15. 症候性の閉塞性肥大型心筋症（HOCM）の治療において、安静時および誘発性左室流出路閉塞に伴う症状の改善、および運動耐容能の改善を目的にマバカムテンを投与する場合の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル B-R","2. 推奨クラス IIa、エビデンスレベル A","3. 推奨クラス IIb、エビデンスレベル B-NR","4. 推奨クラス III Harm、エビデンスレベル C-LD",1,"マバカムテンはHOCMの症状および運動耐容能の改善目的で推奨クラス I、エビデンスレベル B-Rで推奨されている。",""
Q16,"心アミロイドーシスの治療","問16. NYHA心機能分類I/II度のATTR心アミロイドーシス患者（遺伝性、野生型ともに）に対して、TTR四量体安定化薬（タファミジスまたはアコラミジス）の投与を行う場合の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-R","3. 推奨クラス IIb、エビデンスレベル A","4. 推奨クラス III No benefit、エビデンスレベル C-LD",1,"NYHA I/II度のATTR心アミロイドーシス患者へのTTR四量体安定化薬の投与は、推奨クラス I、エビデンスレベル Aで推奨されている。",""
Q17,"心臓サルコイドーシスの突然死予防","問17. 心臓サルコイドーシス患者におけるICDの一次予防適応に関して、GDMTが3ヵ月以上適切に実施されていて、LVEFが35％＜LVEF＜50％の場合に、心臓MRIで広範囲の遅延造影が認められると判断される場合にICD植込みを考慮する場合の推奨クラスとエビデンスレベルはどれか,?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-NR","3. 推奨クラス IIb、エビデンスレベル C-LD","4. 推奨クラス III Harm、エビデンスレベル C-EO",2,"LVEF 35%<LVEF<50%かつ心臓MRIで広範囲の遅延造影を認める場合のICD植込みは、推奨クラス IIa、エビデンスレベル B-NRで考慮される。",""
Q18,"併存症（貧血・鉄代謝）","問18. 鉄欠乏（貧血の有無を問わない）を有するHFrEF/HFmrEF患者に対する心不全症状や運動耐容能改善を目的とした静注鉄剤の投与を考慮する場合の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル A","2. 推奨クラス IIa、エビデンスレベル B-R","3. 推奨クラス IIb、エビデンスレベル C-LD","4. 推奨クラス III No benefit、エビデンスレベル A",2,"鉄欠乏を有するHFrEF/HFmrEF患者に対する静注鉄剤の投与は、QOL/運動耐容能改善を目的に推奨クラス IIa、エビデンスレベル B-Rで考慮される。",""
Q19,"疾病管理とセルフケア","問19. 心不全増悪の早期発見・早期治療のため、患者、家族、介護者、医療・介護従事者が、心不全の症状・徴候をモニタリングする際の推奨クラスとエビデンスレベルはどれか?","1. 推奨クラス I、エビデンスレベル B-NR","2. 推奨クラス IIa、エビデンスレベル A","3. 推奨クラス IIb、エビデンスレベル B-R","4. 推奨クラス III No benefit、エビデンスレベル C-LD",1,"心不全増悪の早期発見のため、患者等による症状・徴候のモニタリングは推奨クラス I、エビデンスレベル B-NRで推奨されている。",""
Q20,"地域連携と移行期管理","問20. 心不全増悪で入院した患者に対する移行期管理において、心不全再入院のリスクを低下させるために、退院後何日以内に外来診察を行い、うっ血の評価と心不全治療の最適化を考慮することが推奨されているか?","1. 退院後 3日以内","2. 退院後 7日以内","3. 退院後 14日以内","4. 退院後 30日以内",3,"心不全再入院リスク低下のため、退院後のフォローアップ診察は退院後14日以内に行うことが考慮される（推奨クラスIIa、エビデンスレベル B-NR）。",""
