Q,テーマ,設問,選択肢1,選択肢2,選択肢3,選択肢4,正答,根拠となる知識,引用文献
Q1,"概論・疫学・自然歴","問1. 成人先天性心疾患の重症度分類（表3）において、「軽症」に含まれる未修復の欠損症として、最も適切に分類されているものはどれですか。","1. 心房中隔欠損（一次孔欠損）","2. 心房中隔欠損（小欠損・孤発性）","3. 心室中隔欠損（中欠損・孤発性）","4. 動脈管開存（中等度以上）",2,"成人先天性心疾患の重症度分類では、孤発性の小欠損ASDが軽症群に分類される。",""
Q2,"概論・疫学・自然歴","問2. わが国における先天性心疾患の成人患者数が、小児患者数をほぼ同数になったと報告されたのはいつの時点ですか。","1. 1987年","2. 1997年","3. 2007年","4. 2017年",2,"本ガイドラインでは、1997年前後に成人先天性心疾患患者数が小児とほぼ同数になったと記載されている。",""
Q3,"概論・疫学・自然歴","問3. わが国の主要施設で登録された成人先天性心疾患患者のうち、重症患者の生存期間中央値として報告されているものはどれですか。","1. 84.1歳","2. 75.4歳","3. 53.3歳","4. 65.0歳",3,"重症成人先天性心疾患患者の生存期間中央値は約53.3歳と報告されている。",""
Q4,"概論・疫学・自然歴","問4. 成人先天性心疾患診療ガイドラインにおける推奨クラス分類で、「手技・治療が有効・有用でないとのエビデンスがある、あるいは見解が広く一致している」と定義されるクラスはどれですか。","1. クラス IIb","2. クラス III（No benefit）","3. クラス III（Harm）","4. クラス IIa",2,"クラスIII（No benefit）は、有効性・有用性がないとされる治療に付与される推奨クラスである。",""
Q5,"概論・疫学・自然歴","問5. 心不全の進展ステージ分類（図2）において、現在も過去にも心不全の症状や徴候はないが、「構造的/機能的心疾患」や「ナトリウム利尿ペプチドの持続的上昇」などの症状を1つ有する場合、どのステージに該当しますか。","1. ステージ A","2. ステージ B","3. ステージ C","4. ステージ D",2,"心不全ステージBは、症状はないが構造的/機能的心疾患やNP上昇などを有する「前心不全」に相当する。",""
Q6,"概論・疫学・自然歴","問6. チアノーゼ型先天性心疾患患者における血液学的異常の管理・治療指針について、瀉血を行う際のヘマトクリット値の基準として最も適切なものはどれですか。","1. 55%を超え、過粘稠症候群の症状が持続する場合","2. 60%を超え、過粘稠症候群の症状が持続する場合","3. 65%を超え、過粘稠症候群の症状が持続する場合","4. 70%を超え、過粘稠症候群の症状が持続する場合",3,"ガイドラインでは、瀉血はHct 65％超かつ過粘稠症候群症状が持続する場合に考慮するとされている。",""
Q7,"概論・疫学・自然歴","問7. 感染性心内膜炎（IE）の診断基準（Duke国際心血管感染症学会 2023年改訂版）における大基準B.画像診断的大基準に含まれる検査として、心エコー図と心臓CTに加えて、感染評価に有用とされるものはどれですか。","1. 心臓MRI（CMR）","2. 18F-FDG PET/CT","3. 換気血流シンチグラム","4. 経頭蓋超音波ドプラ法（TCD）",2,"改訂Duke基準では、18F-FDG PET/CTが画像診断的大基準として追加されている。",""
Q8,"概論・疫学・自然歴","問8. Fontan術後の心不全において、体血管抵抗が不相応に低下し、心拍出量（CO）は維持または不相応に高い「高CVP高CO型」の破綻様式に対して有効性が報告されている薬物治療はどれですか。","1. ACE阻害薬","2. β遮断薬","3. 血管収縮薬","4. SGLT2阻害薬",3,"Fontan術後の高CVP高CO型破綻では、血管収縮薬による体血管抵抗是正が有用と報告されている。",""
Q9,"概論・疫学・自然歴","問9. 成人先天性心疾患で最も頻度が高い心房内マクロリエントリー性頻拍（IART）が成立するために必要な要素として、解剖学的障壁と伝導遅延部位のほかに寄与する要因として挙げられているものはどれですか。","1. 急性の容量負荷","2. 慢性的な圧負荷や容量負荷による心房拡大","3. 遺伝的要因","4. WPW症候群の合併",2,"IARTは、解剖学的障壁と伝導遅延に加え、慢性的圧・容量負荷による心房拡大が基盤となる。",""
Q10,"概論・疫学・自然歴","問10. 修正大血管転位（ccTGA）において、完全房室ブロックの年間発生率として報告されている値はどれですか。","1. 0.5% /年","2. 1～ 2% /年","3. 5% /年","4. 10% /年",2,"ccTGAでは房室伝導障害の進行が問題であり、完全房室ブロックの年間発生率は1〜2％/年とされる。",""
