"Q","テーマ","設問","選択肢1","選択肢2","選択肢3","選択肢4","正答","根拠となる知識","引用文献"
"Q1","PTEの予後とスコア","急性肺血栓塞栓症（PTE）の重症度分類において、簡易版PESI（sPESI）スコアで低リスク（0点）と判定された患者の30日死亡リスクの推定値として正しいものはどれか？","1. 0.5%","2. 1.0%","3. 1.7%","4. 4.0%","2","sPESIスコアが0点の場合の30日死亡リスクは1.0％（95％CI 0.0～2.1）である。",""
"Q2","DVTの分類と病態","深部静脈血栓症（DVT）の分類のうち、左腸骨静脈が右腸骨動脈に圧迫されること（iliac compression syndrome）により、右側よりも発症が多いとされる病態はどれか？","1. 末梢型DVT","2. 表在性静脈炎","3. 中枢型DVT","4. 有痛性青股腫（phlegmasia cerulea dolens）","3","中枢型DVTは、左腸骨静脈が右腸骨動脈の後方を走行する際に圧迫を受けやすいため、右側より左側に多いとされる。",""
"Q3","DVTの重症病態","DVTの進行により下肢の著明な腫脹と動脈攣縮を生じ、下肢が蒼白となる病像として正しいものはどれか？","1. 血栓後症候群（PTS）","2. 慢性血栓塞栓性肺高血圧症（CTEPH）","3. 有痛性白股腫（phlegmasia alba dolens）","4. 有痛性青股腫（phlegmasia cerulea dolens）","3","有痛性白股腫（phlegmasia alba dolens）は、腸骨大腿静脈に急速に大量血栓が生じ、下肢の著明な腫脹と動脈攣縮を生じ、下肢が蒼白となる病像を呈する。",""
"Q4","PTEの急性期合併症","急性肺血栓塞栓症（PTE）の病態において、右室の微小梗塞が生じた際に上昇するバイオマーカーはどれか？","1. BNP","2. NT-proBNP","3. トロポニン","4. Dダイマー","3","右室壁応力増加により右冠動脈の心筋への灌流障害から酸素供給が妨げられ、右室の微小梗塞がトロポニン上昇につながる。",""
"Q5","PTEの診断と重症度","急性PTEの重症度分類において、血行動態が安定（低血圧なし）しているが、心エコー図検査で右心負荷所見と心臓バイオマーカー陽性がともに認められる群は、ESC/ERSガイドライン2019年改訂版でどのように分類されるか？","1. 高リスク群","2. 中［高］リスク群","3. 中［低］リスク群","4. 低リスク群","2","ショックや低血圧がなく、PESIまたはsPESIが1点以上で、右室機能不全（画像所見）と心臓バイオマーカーがともに陽性の場合、「中［高］リスク群」に分類される。",""
"Q6","PTEの治療（血栓溶解）","急性PTEの血栓溶解療法において、絶対禁忌となる病態として正しいものはどれか？","1. 6ヵ月以内の一過性脳虚血発作","2. 経口抗凝固療法中","3. 妊娠、産後1週間","4. 6ヵ月以内の虚血性脳卒中","4","6ヵ月以内の虚血性脳卒中は、血栓溶解療法の絶対禁忌である。他の選択肢は相対禁忌である。",""
"Q7","PTEの治療（ECMO）","高リスクPTEの呼吸循環管理において、通常の心肺蘇生法に反応しない循環虚脱もしくは心肺停止を呈する患者に対する初期対応として、すみやかに検討すべき治療はどれか？","1. 全身血栓溶解療法","2. 経皮的冠動脈インターベンション","3. 静脈-動脈方式体外膜型人工肺（V-A ECMO）導入","4. カテーテル血栓溶解療法（CDT）","3","循環虚脱もしくは心肺停止を呈する場合には、通常の心肺蘇生法のみでは有効でない場合も多いため、すみやかなV-A ECMO導入の検討を行う。",""
"Q8","VTEの予防","周術期VTE予防におけるリスク評価のうち、Capriniスコアで「5点以上」の最高リスクに分類される項目として含まれるものはどれか？","1. 41～60歳","2. 悪性腫瘍","3. 1ヵ月以内の脳卒中","4. 下肢腫脹","3","Capriniスコアにおいて、1ヵ月以内の脳卒中は5点に分類される。",""
"Q9","DVTの治療とRCT","DVTの抗凝固療法において、末梢型DVTに対する画一的な抗凝固療法の施行が推奨されない理由として、RCTにおいて有効性が否定されたのは、以下のどの治療法と圧迫療法の比較研究か？","1. ワルファリン","2. 低分子ヘパリン","3. リバーロキサバン","4. エドキサバン","2","症候性末梢型DVTの低分子ヘパリンと圧迫療法についてのRCTでは、抗凝固療法の有効性はなく、出血が増加するという結果であった。",""
"Q10","抗凝固療法の中止基準","VTE再発リスクの分類において、抗凝固療法の投与期間を3ヵ月間の短期間とすることを考慮すべき、再発リスクが「低リスク」に分類される誘因はどれか？","1. 活動性のある膠原病","2. 誘因のないVTE（unprovoked VTE）","3. 全身麻酔を伴う大手術（手術時間30分以上）","4. 潰瘍性大腸炎","3","全身麻酔を伴う大手術（手術時間30分以上）は一過性のメジャーな因子であり、再発リスクは低リスク（抗凝固療法3ヵ月間）とされる。",""
